0,1.00027491
1e-06,1.00110381
2e-06,1.0013334
3e-06,1.00156385
4e-06,1.00179529
5e-06,1.00202765
6e-06,1.00226089
7e-06,1.00249499
8e-06,1.00272992
9e-06,1.00296568
1e-05,1.00320225
1.1e-05,1.00343961
1.2e-05,1.00367776
1.3e-05,1.00391667
1.4e-05,1.00415633
1.5e-05,1.00439673
1.6e-05,1.00463786
1.7e-05,1.00487969
1.8e-05,1.00512222
1.9e-05,1.00536542
2e-05,1.00560929
2.1e-05,1.0058538
2.2e-05,1.00609894
2.3e-05,1.0063447
2.4e-05,1.00659105
2.5e-05,1.00683798
2.6e-05,1.00708547
2.7e-05,1.00733351
2.8e-05,1.00758208
2.9e-05,1.00783116
3e-05,1.00808073
3.1e-05,1.00833078
3.2e-05,1.00858129
3.3e-05,1.00883225
3.4e-05,1.00908362
3.5e-05,1.0093354
3.6e-05,1.00958758
3.7e-05,1.00984012
3.8e-05,1.01009301
3.9e-05,1.01034624
4e-05,1.01059979
4.1e-05,1.01085363
4.2e-05,1.01110775
4.3e-05,1.01136214
4.4e-05,1.01161677
4.5e-05,1.01187163
4.6e-05,1.01212669
4.7e-05,1.01238194
4.8e-05,1.01263736
4.9e-05,1.01289294
5e-05,1.01314865
5.1e-05,1.01340447
5.2e-05,1.01366038
5.3e-05,1.01391638
5.4e-05,1.01417243
5.5e-05,1.01442852
5.6e-05,1.01468463
5.7e-05,1.01494074
5.8e-05,1.01519684
5.9e-05,1.01545289
6e-05,1.0157089
6.1e-05,1.01596482
6.2e-05,1.01622066
6.3e-05,1.01647638
6.4e-05,1.01673196
6.5e-05,1.0169874
6.6e-05,1.01724267
6.7e-05,1.01749774
6.8e-05,1.01775261
6.9e-05,1.01800725
7e-05,1.01826164
7.1e-05,1.01851576
7.2e-05,1.0187696
7.3e-05,1.01902312
7.4e-05,1.01927632
7.5e-05,1.01952918
7.6e-05,1.01978167
7.7e-05,1.02003377
7.8e-05,1.02028547
7.9e-05,1.02053675
8e-05,1.02078758
8.1e-05,1.02103794
8.2e-05,1.02128782
8.3e-05,1.0215372
8.4e-05,1.02178605
8.5e-05,1.02203436
8.6e-05,1.02228211
8.7e-05,1.02252927
8.8e-05,1.02277583
8.9e-05,1.02302177
9e-05,1.02326706
9.1e-05,1.0235117
9.2e-05,1.02375565
9.3e-05,1.0239989
9.4e-05,1.02424142
9.5e-05,1.02448321
9.6e-05,1.02472423
9.7e-05,1.02496447
9.8e-05,1.02520391
9.9e-05,1.02544253
0.0001,1.0256803
0.000101,1.02591722
0.000102,1.02615325
0.000103,1.02638838
0.000104,1.0266226
0.000105,1.02685587
0.000106,1.02708819
0.000107,1.02731953
0.000108,1.02754986
0.000109,1.02777918
0.00011,1.02800746
0.000111,1.02823469
0.000112,1.02846084
0.000113,1.02868589
0.000114,1.02890982
0.000115,1.02913263
0.000116,1.02935427
0.000117,1.02957475
0.000118,1.02979403
0.000119,1.03001209
0.00012,1.03022893
0.000121,1.03044451
0.000122,1.03065883
0.000123,1.03087185
0.000124,1.03108357
0.000125,1.03129396
0.000126,1.031503
0.000127,1.03171067
0.000128,1.03191696
0.000129,1.03212185
0.00013,1.03232531
0.000131,1.03252733
0.000132,1.03272789
0.000133,1.03292698
0.000134,1.03312456
0.000135,1.03332063
0.000136,1.03351517
0.000137,1.03370816
0.000138,1.03389957
0.000139,1.0340894
0.00014,1.03427763
0.000141,1.03446423
0.000142,1.03464919
0.000143,1.03483249
0.000144,1.03501412
0.000145,1.03519405
0.000146,1.03537227
0.000147,1.03554877
0.000148,1.03572352
0.000149,1.03589652
0.00015,1.03606774
0.000151,1.03623717
0.000152,1.0364048
0.000153,1.0365706
0.000154,1.03673457
0.000155,1.03689668
0.000156,1.03705692
0.000157,1.03721528
0.000158,1.03737173
0.000159,1.03752626
0.00016,1.03767885
0.000161,1.0378295
0.000162,1.03797818
0.000163,1.03812488
0.000164,1.03826959
0.000165,1.03841229
0.000166,1.03855296
0.000167,1.03869159
0.000168,1.03882817
0.000169,1.03896268
0.00017,1.03909511
0.000171,1.03922544
0.000172,1.03935367
0.000173,1.03947977
